,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__hidden_layer_sizes,param_classifier__learning_rate_init,param_classifier__max_iter,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score,holdout_test_score
169,0.711448073387146,0.43309247493743896,0.0025458335876464844,5.841255187988281e-05,"(44,)",0.001,1000,"{'classifier__hidden_layer_sizes': (44,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 1000}",0.4279491833030853,0.4245728825881498,0.4262622593534326,0.001688149911987191,7,0.4518356961105053,0.4206896551724138,0.43626267564145954,0.01557302046904574,0.4264705882352941
170,0.9969584941864014,0.6268677711486816,0.0024538040161132812,0.00010848045349121094,"(44,)",0.001,10000,"{'classifier__hidden_layer_sizes': (44,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 10000}",0.4166969147005445,0.4445656125045438,0.43062114057391937,0.013934345224909222,2,0.42602689930934207,0.45626134301270416,0.4411441211610231,0.015117221851681045,0.4297385620915033
171,0.0958700180053711,0.01722264289855957,0.002353191375732422,5.0067901611328125e-06,"(45,)",0.1,100,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 100}",0.41742286751361163,0.4176663031624864,0.41754449691245915,0.00012171779231764841,154,0.4176663031624864,0.41742286751361163,0.417544585338049,0.00012171782443737289,0.4166666666666667
172,0.08370554447174072,0.0024927854537963867,0.0024350881576538086,7.987022399902344e-06,"(45,)",0.1,1000,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 1000}",0.4177858439201452,0.4173027989821883,0.41754449691245915,0.00024152240524384733,154,0.4194838240639767,0.41705989110707803,0.4182718575855274,0.0012119664784493445,0.4166666666666667
173,0.18098020553588867,0.07056379318237305,0.0025615692138671875,0.00017333030700683594,"(45,)",0.1,10000,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.1, 'classifier__max_iter': 10000}",0.4177858439201452,0.4176663031624864,0.41772611696331274,5.977036305678638e-05,140,0.4194838240639767,0.41742286751361163,0.4184533457887942,0.0010304782751825448,0.4166666666666667
174,0.3876684904098511,0.03535950183868408,0.002473592758178711,0.00017905235290527344,"(45,)",0.01,100,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 100}",0.41705989110707803,0.4173027989821883,0.4171812568107519,0.00012145390550505,213,0.41802980734278444,0.4177858439201452,0.4179078256314648,0.00012198171131963531,0.4166666666666667
175,0.261216402053833,0.06326508522033691,0.0023289918899536133,1.537799835205078e-05,"(45,)",0.01,1000,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 1000}",0.41742286751361163,0.420574336604871,0.41899745731928806,0.0015757341298141636,56,0.4176663031624864,0.4206896551724138,0.4191779791674501,0.0015116760049637135,0.4150326797385621
176,0.5581015348434448,0.2707251310348511,0.002488851547241211,6.67572021484375e-05,"(45,)",0.01,10000,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.01, 'classifier__max_iter': 10000}",0.4166969147005445,0.4216648491457652,0.41917907737014165,0.002483966567124244,48,0.41912031988367865,0.42141560798548094,0.42026796393457977,0.0011476440509011476,0.4199346405228758
177,0.487152099609375,0.1115717887878418,0.0026977062225341797,2.6702880859375e-05,"(45,)",0.001,100,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 100}",0.4185117967332123,0.4198473282442748,0.41917907737014165,0.0006677655793166819,48,0.42348237004725553,0.41705989110707803,0.4202711305771668,0.0032112394700887503,0.4395424836601307
178,0.5459864139556885,0.1612074375152588,0.0025027990341186523,8.952617645263672e-05,"(45,)",0.001,1000,"{'classifier__hidden_layer_sizes': (45,), 'classifier__learning_rate_init': 0.001, 'classifier__max_iter': 1000}",0.4261343012704174,0.420574336604871,0.4233563385397748,0.002779981599172632,18,0.4311159578335151,0.423956442831216,0.4275362003323655,0.0035797575011495553,0.4395424836601307
